AATS2i,BIC3,ETA_BetaP_s,GATS6m,IC2,JGI3,MDEN-22,MLFER_BO,WTPT-5,maxHother,maxaaN,maxssNH,nT6HeteroRing
-1.026586755,1.698293976,-0.120112446,0.283543035,1.285341156,2.412903076,0.528026277,0.06484897,0.581593929,0.143257418,-1.70372416,0.028879898,-0.443869406
-1.851845651,0.636578698,-0.099189947,0.535971142,-1.39576981,2.498525315,-0.768225009,-0.99092253,-1.016438934,-0.066595618,-1.70372416,-0.040219254,-1.594647204
0.656709128,-1.519069658,-1.079123759,-0.98180469,-0.821625248,-1.100115855,-0.316131775,-0.347561772,-0.964653874,0.830233194,-1.590732133,-0.690328745,-0.443869406
0.508288475,0.330280025,-0.339228082,-0.974158615,0.367496023,-0.276098246,1.67361457,0.613355256,0.544869154,-0.069894328,-0.198465118,0.482888782,-0.443869406
0.132546774,0.643904007,0.189160143,-0.661265404,0.452785401,-0.433300658,1.67361457,0.613355256,0.569482905,-0.069894328,-0.18209169,0.498974173,-0.443869406
0.489394442,0.578137397,0.355779324,-0.678226566,0.797290221,0.608537066,1.581210104,0.941221796,0.574374952,0.022772973,-0.019111151,0.605908704,0.706908392
0.625187205,0.578137397,0.788684867,-0.595487782,0.914745658,0.17580677,1.633672274,1.451580089,1.066742591,-0.028542184,0.035444794,0.689175783,1.85768619
0.821677042,0.577628418,0.788684867,0.562064685,0.162362909,-0.456202514,1.161079661,0.203006568,1.081437431,0.680077671,0.218017666,0.661837317,0.706908392
0.153776599,-0.402340178,1.773944407,1.204624064,-0.300575807,0.248663963,0.84300465,-0.996077664,1.02465652,0.484296684,1.317633196,-2.058507018,0.706908392
0.839272177,0.11955449,0.268285233,-0.457993747,0.674919513,0.456175665,1.581210104,1.276305524,1.093175584,-0.067231854,0.025044338,0.640949697,0.706908392
0.8881062,-0.399055709,0.433002369,-0.591812222,0.362531673,0.544343367,1.581210104,1.276305524,1.094473266,-0.039560451,0.013845294,0.632376464,0.706908392
-0.93970957,1.801224421,-0.716593898,-0.775578332,0.932717742,1.238247944,2.038794746,-0.054750146,0.507573649,0.0755871,-1.70372416,-0.046337904,-0.443869406
-0.453297529,0.877724691,0.09862278,0.730334994,1.118843516,0.635449927,-1.407234931,-0.79090332,-0.380285239,-1.983208636,0.953386471,0.159282312,-0.443869406
